workorder num,actual code,exsisting code,update status
12297,2700,*2700-Pierce- 9.5% Tax Code,Correct
12326,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12333,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12334,4100,*2727 - Pierce- 10.1% Tax Code,updated
12339,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12349,2721,*2721 - Lakewood - 10.1% Tax Code,Correct
12337,2700,*2700-Pierce- 9.5% Tax Code,Correct
12246,2700,*2700-Pierce- 9.5% Tax Code,Correct
12309,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12350,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12367,2700,*2700-Pierce- 9.5% Tax Code,Correct
12311,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12342,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12305,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12356,2700,*2700-Pierce- 9.5% Tax Code,Correct
12315,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12369,4100,*ORTING - 2710 -9.5.% Tax Code972-inactive,updated
12372,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12389,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12378,2727,*NON TAX - RESALE Tax Code,updated
12306,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12383,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12332,2700,*2700-Pierce- 9.5% Tax Code,Correct
12357,2700,*2700-Pierce- 9.5% Tax Code,Correct
12360,2717,TACOMA-2717-eff 07/21.-inactive,Correct
12374,4100,*2708 - Gig Harbor - 9.1% Tax Code,updated
12403,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12354,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12394,1712,*COVINGTON -1712 - 9.1% Tax Code1031-inactive,Correct
12379,2701,*2701 - Bonney Lake - 9.5% Tax Code,Correct
12436,2716,WHOLESALE - HV RESALE821-inactive,updated
12388,2700,*2700-Pierce- 9.5% Tax Code,Correct
12416,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12461,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12466,2700,PIERCE - 2700 Tax Code842-inactive,Correct
12464,2700,*2700-Pierce- 9.5% Tax Code,Correct
12465,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12196,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12439,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12467,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12419,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12420,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
12422,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12462,2720,*2720 - Edgewood - 10.1% Tax Code,Correct
12330,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12458,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12455,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12472,4100,PIERCE - 4100 Tax Code845-inactive,Correct
12491,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12438,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12463,2711,PIERCE - 2700 Tax Code842-inactive,updated
12511,2727,*2700-Pierce- 9.5% Tax Code,updated
12480,,,Check Manually
12490,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12502,4100,PIERCE - 4100 Tax Code845-inactive,Correct
12515,2700,*2700-Pierce- 9.5% Tax Code,Correct
12520,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12529,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12530,2721,*2727 - Pierce- 10.1% Tax Code,updated
12386,2700,*2700-Pierce- 9.5% Tax Code,Correct
12546,4100,*2727 - Pierce- 10.1% Tax Code,updated
12525,2700,*2700-Pierce- 9.5% Tax Code,Correct
12548,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
12522,4100,*2727 - Pierce- 10.1% Tax Code,Check Manually
12545,2700,*2700-Pierce- 9.5% Tax Code,Correct
12540,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12564,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12571,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12574,2727,*2727 - Pierce- 10.1% Tax Code,Correct
12535,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12563,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12569,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12575,2700,*2717 - TACOMA - 10.3% Tax Code961-inactive,updated
12507,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,Correct
12588,1702,*AUBURN - 1702 - 10.3.% Tax Code992-inactive,Correct
12589,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,Correct
12612,1715,KENT - 1715 Tax Code882-inactive,Correct
12580,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12526,4100,*4100 - Pierce- 8.1% Tax Code,Correct
12609,2700,*2700-Pierce- 9.5% Tax Code,Correct
12581,4100,*4100 - Pierce- 8.1% Tax Code,Correct
